iter	Logloss
0	0.6856150257
1	0.6782970262
2	0.6707932923
3	0.6637951005
4	0.6571053695
5	0.6503447951
6	0.6439892606
7	0.6373139642
8	0.6307949329
9	0.6247187061
10	0.618495693
11	0.6125561711
12	0.6066216615
13	0.6011056568
14	0.5957429604
15	0.5905029782
16	0.5853378382
17	0.5806149053
18	0.5754556852
19	0.570542831
20	0.5660790324
21	0.5613702081
22	0.5568821762
23	0.5522613991
24	0.5476147957
25	0.5431651699
26	0.5392377423
27	0.5350858574
28	0.5314560343
29	0.5274197728
30	0.5240269981
31	0.5205996987
32	0.517262272
33	0.5139793051
34	0.5104811582
35	0.5069070368
36	0.5033102099
37	0.500308668
38	0.4970675376
39	0.493799174
40	0.4907841776
41	0.4879262655
42	0.4850517432
43	0.4819286454
44	0.4791512241
45	0.4765001505
46	0.4737846917
47	0.4712770063
48	0.4686991725
49	0.4661182152
50	0.4635004635
51	0.4614049486
52	0.4587887259
53	0.4566668289
54	0.4544219185
55	0.452212762
56	0.4504505467
57	0.448329122
58	0.4462505826
59	0.4442770343
60	0.4425344993
61	0.4404362907
62	0.4385362223
63	0.4367968915
64	0.435204353
65	0.4337488652
66	0.4320188737
67	0.4302250058
68	0.4285029972
69	0.4267970693
70	0.4250889717
71	0.4233771172
72	0.4220008305
73	0.4204812723
74	0.4188653445
75	0.4173870782
76	0.4158660626
77	0.4142265744
78	0.4129325094
79	0.4113779568
80	0.4097951378
81	0.4087148076
82	0.4073466241
83	0.4059794784
84	0.4043375409
85	0.4029286361
86	0.4014977007
87	0.4002534454
88	0.3991266902
89	0.3981783804
90	0.3968436175
91	0.39555624
92	0.3942442962
93	0.3928616325
94	0.3916935069
95	0.3908601294
96	0.3898663459
97	0.388833745
98	0.3874362506
99	0.3866185721
100	0.3856094949
101	0.384797053
102	0.3836662563
103	0.3825805321
104	0.3815926103
105	0.3805370808
106	0.3794022424
107	0.3783546905
108	0.3772057613
109	0.3762402165
110	0.3754633878
111	0.3745836135
112	0.3736250797
113	0.3726355503
114	0.371689187
115	0.37081339
116	0.3698915461
117	0.369169007
118	0.3680967502
119	0.3671260062
120	0.3662197512
121	0.3650934279
122	0.3644077732
123	0.3635467075
124	0.3627514388
125	0.362066972
126	0.3613672999
127	0.3604167255
128	0.3595726079
129	0.3588428921
130	0.3580885656
131	0.357510657
132	0.3569385809
133	0.356148909
134	0.3554888155
135	0.3548533351
136	0.3541900296
137	0.3535845936
138	0.3528176246
139	0.3520825795
140	0.3514471388
141	0.3507085072
142	0.3497219096
143	0.3489652196
144	0.3482785036
145	0.3476870713
146	0.3472076682
147	0.3464517633
148	0.3458287767
149	0.3449974005
150	0.3444618081
151	0.3438078271
152	0.3431220652
153	0.3425452321
154	0.3418905562
155	0.3412799872
156	0.3403820154
157	0.3396933099
158	0.3390021137
159	0.3381916922
160	0.3374322342
161	0.3367649627
162	0.3361745497
163	0.3356051762
164	0.3350428218
165	0.3344198238
166	0.3337494782
167	0.3332045079
168	0.3325161202
169	0.3320451967
170	0.331356719
171	0.3308198068
172	0.3301668594
173	0.3296963536
174	0.3290996569
175	0.3285810756
176	0.3280975238
177	0.3276412747
178	0.3270790964
179	0.3265764802
180	0.3260565057
181	0.3255866476
182	0.3250845262
183	0.3245791078
184	0.3242273668
185	0.3236375145
186	0.3229495919
