iter	Passed	Remaining
0	58	57945
1	110	54969
2	158	52743
3	210	52534
4	259	51700
5	308	51107
6	360	51115
7	414	51389
8	467	51422
9	519	51433
10	571	51355
11	627	51624
12	682	51820
13	738	51981
14	793	52102
15	851	52386
16	908	52530
17	937	51154
18	997	51491
19	1053	51640
20	1105	51554
21	1154	51332
22	1203	51123
23	1254	51001
24	1306	50939
25	1358	50906
26	1415	50995
27	1479	51365
28	1537	51475
29	1592	51481
30	1646	51460
31	1694	51249
32	1741	51017
33	1822	51781
34	1883	51933
35	1936	51845
36	1987	51739
37	2037	51591
38	2089	51493
39	2143	51435
40	2196	51381
41	2249	51320
42	2305	51304
43	2363	51344
44	2416	51288
45	2469	51222
46	2525	51204
47	2579	51157
48	2634	51135
49	2689	51098
50	2742	51040
51	2798	51012
52	2862	51154
53	2915	51081
54	2975	51117
55	3031	51102
56	3089	51117
57	3145	51086
58	3202	51072
59	3261	51103
60	3317	51065
61	3439	52040
62	3508	52186
63	3569	52206
64	3627	52181
65	3681	52105
66	3738	52056
67	3791	51961
68	3848	51922
69	3902	51851
70	3958	51793
71	4014	51745
72	4070	51686
73	4126	51640
74	4181	51565
75	4235	51498
76	4319	51774
77	4377	51740
78	4434	51698
79	4500	51758
80	4569	51841
81	4640	51954
82	4713	52071
83	4770	52026
84	4831	52004
85	4898	52059
86	4957	52024
87	5017	52002
88	5078	51982
89	5139	51965
90	5197	51915
91	5252	51840
92	5305	51741
93	5365	51718
94	5436	51787
95	5493	51727
96	5554	51712
97	5612	51658
98	5673	51630
99	5729	51569
100	5784	51487
101	5844	51456
102	5910	51470
103	5966	51400
104	6024	51350
105	6080	51286
106	6135	51203
107	6196	51181
108	6266	51221
109	6328	51199
110	6384	51133
111	6440	51061
112	6494	50979
113	6547	50888
114	6603	50816
115	6660	50759
116	6715	50685
117	6772	50624
118	6832	50584
119	6889	50522
120	6954	50521
121	7017	50506
122	7081	50494
123	7137	50421
124	7195	50369
125	7255	50326
126	7313	50271
127	7368	50196
128	7426	50144
129	7480	50059
130	7574	50246
131	7673	50458
132	7745	50488
133	7800	50409
134	7852	50316
135	7903	50209
136	7953	50104
137	8006	50012
138	8062	49940
139	8117	49865
140	8170	49777
141	8221	49674
142	8273	49583
143	8324	49486
144	8375	49387
145	8424	49277
146	8473	49170
147	8525	49076
148	8576	48982
149	8626	48884
150	8678	48793
151	8727	48690
152	8777	48589
153	8826	48487
154	8876	48388
155	8926	48294
156	8977	48202
157	9026	48104
158	9076	48007
159	9123	47896
160	9169	47785
161	9215	47671
162	9264	47574
163	9321	47517
164	9382	47478
165	9436	47410
166	9491	47345
167	9546	47276
168	9598	47196
169	9650	47116
170	9701	47031
171	9750	46940
172	9797	46836
173	9845	46736
174	9892	46637
175	9942	46547
176	9992	46461
177	10045	46387
178	10094	46297
179	10141	46200
180	10188	46103
181	10236	46007
182	10285	45919
183	10337	45846
184	10389	45771
185	10443	45703
186	10497	45637
187	10558	45605
188	10619	45566
189	10675	45510
190	10727	45437
191	10776	45352
192	10831	45290
193	10887	45233
194	10944	45181
195	10995	45103
196	11044	45020
197	11100	44963
198	11158	44912
199	11213	44854
200	11264	44777
201	11316	44703
202	11362	44611
203	11413	44535
204	11466	44468
205	11519	44401
206	11568	44318
207	11620	44249
208	11673	44179
209	11729	44124
210	11785	44070
211	11845	44029
212	11902	43977
213	11951	43895
214	11999	43813
215	12049	43736
216	12097	43652
217	12145	43566
